
Date;type;Input Data;Input Requete;Nombre Triplet;Nombre requete;Temps Data;Temps Parse RequêtesTemps reponse;Temps Programme
2022-01-01 21-14-33;moteurCold;workload2\100K.nt;workload2\2100Q.queryset;107338;2100;15058;391;16;18502
2022-01-01 21-14-33;Jena;workload2\100K.nt;workload2\2100Q.queryset;107338;2100;1475;391;283;18502
